cell,time,biorep,dilutions,pos
nm,16,1,1.00E-10,0
nm,16,1,1.00E-11,0
nm,16,1,1.00E-12,0
nm,16,2,0.1,6
nm,16,2,0.01,6
nm,16,2,0.001,6
nm,16,2,1.00E-04,6
nm,16,2,1.00E-05,6
nm,16,2,1.00E-06,6
nm,16,2,1.00E-07,6
nm,16,2,1.00E-08,6
nm,16,2,1.00E-09,3
nm,16,2,1.00E-10,0
nm,16,2,1.00E-11,0
nm,16,2,1.00E-12,0
nm,16,3,0.1,6
nm,16,3,0.01,6
nm,16,3,0.001,6
nm,16,3,1.00E-04,6
nm,16,3,1.00E-05,6
nm,16,3,1.00E-06,6
nm,16,3,1.00E-07,6
nm,16,3,1.00E-08,6
nm,16,3,1.00E-09,1
nm,16,3,1.00E-10,0
nm,16,3,1.00E-11,0
nm,16,3,1.00E-12,0
nm,16,4,0.1,6
nm,16,4,0.01,6
nm,16,4,0.001,6
nm,16,4,1.00E-04,6
nm,16,4,1.00E-05,6
nm,16,4,1.00E-06,6
nm,16,4,1.00E-07,6
nm,16,4,1.00E-08,6
nm,16,4,1.00E-09,2
nm,16,4,1.00E-10,0
nm,16,4,1.00E-11,1
nm,16,4,1.00E-12,0
nm,20,1,0.1,6
nm,20,1,0.01,6
nm,20,1,0.001,6
nm,20,1,1.00E-04,6
nm,20,1,1.00E-05,6
nm,20,1,1.00E-06,6
nm,20,1,1.00E-07,6
nm,20,1,1.00E-08,6
nm,20,1,1.00E-09,3
nm,20,1,1.00E-10,1
nm,20,1,1.00E-11,0
nm,20,1,1.00E-12,0
nm,20,2,0.1,6
nm,20,2,0.01,6
nm,20,2,0.001,6
nm,20,2,1.00E-04,6
nm,20,2,1.00E-05,6
nm,20,2,1.00E-06,6
nm,20,2,1.00E-07,6
nm,20,2,1.00E-08,6
nm,20,2,1.00E-09,2
nm,20,2,1.00E-10,1
nm,20,2,1.00E-11,0
nm,20,2,1.00E-12,0
nm,20,3,0.1,6
nm,20,3,0.01,6
nm,20,3,0.001,6
nm,20,3,1.00E-04,6
nm,20,3,1.00E-05,6
nm,20,3,1.00E-06,6
nm,20,3,1.00E-07,6
nm,20,3,1.00E-08,6
nm,20,3,1.00E-09,1
nm,20,3,1.00E-10,0
nm,20,3,1.00E-11,0
nm,20,3,1.00E-12,0
nm,20,4,0.1,6
nm,20,4,0.01,6
nm,20,4,0.001,6
nm,20,4,1.00E-04,6
nm,20,4,1.00E-05,6
nm,20,4,1.00E-06,6
nm,20,4,1.00E-07,6
nm,20,4,1.00E-08,6
nm,20,4,1.00E-09,1
nm,20,4,1.00E-10,0
nm,20,4,1.00E-11,0
nm,20,4,1.00E-12,0
nm,24,1,0.1,6
nm,24,1,0.01,6
nm,24,1,0.001,6
nm,24,1,1.00E-04,6
nm,24,1,1.00E-05,6
nm,24,1,1.00E-06,6
nm,24,1,1.00E-07,6
nm,24,1,1.00E-08,6
nm,24,1,1.00E-09,3
nm,24,1,1.00E-10,0
nm,24,1,1.00E-11,0
nm,24,1,1.00E-12,0
nm,24,2,0.1,6
nm,24,2,0.01,6
nm,24,2,0.001,6
nm,24,2,1.00E-04,6
nm,24,2,1.00E-05,6
nm,24,2,1.00E-06,6
nm,24,2,1.00E-07,6
nm,24,2,1.00E-08,6
nm,24,2,1.00E-09,1
nm,24,2,1.00E-10,0
nm,24,2,1.00E-11,0
nm,24,2,1.00E-12,0
nm,24,3,0.1,6
nm,24,3,0.01,6
nm,24,3,0.001,6
nm,24,3,1.00E-04,6
nm,24,3,1.00E-05,6
nm,24,3,1.00E-06,6
nm,24,3,1.00E-07,6
nm,24,3,1.00E-08,6
nm,24,3,1.00E-09,2
nm,24,3,1.00E-10,1
nm,24,3,1.00E-11,0
nm,24,3,1.00E-12,0
nm,24,4,0.1,6
nm,24,4,0.01,6
nm,24,4,0.001,6
nm,24,4,1.00E-04,6
nm,24,4,1.00E-05,6
nm,24,4,1.00E-06,6
nm,24,4,1.00E-07,6
nm,24,4,1.00E-08,6
nm,24,4,1.00E-09,3
nm,24,4,1.00E-10,1
nm,24,4,1.00E-11,0
nm,24,4,1.00E-12,0
nm,28,1,0.1,6
nm,28,1,0.01,6
nm,28,1,0.001,6
nm,28,1,1.00E-04,6
nm,28,1,1.00E-05,6
nm,28,1,1.00E-06,6
nm,28,1,1.00E-07,6
nm,28,1,1.00E-08,6
nm,28,1,1.00E-09,3
nm,28,1,1.00E-10,2
nm,28,1,1.00E-11,0
nm,28,1,1.00E-12,0
nm,28,2,0.1,6
nm,28,2,0.01,6
nm,28,2,0.001,6
nm,28,2,1.00E-04,6
nm,28,2,1.00E-05,6
nm,28,2,1.00E-06,6
nm,28,2,1.00E-07,6
nm,28,2,1.00E-08,6
nm,28,2,1.00E-09,1
nm,28,2,1.00E-10,0
nm,28,2,1.00E-11,0
nm,28,2,1.00E-12,0
nm,28,3,0.1,6
nm,28,3,0.01,6
nm,28,3,0.001,6
nm,28,3,1.00E-04,6
nm,28,3,1.00E-05,6
nm,28,3,1.00E-06,6
nm,28,3,1.00E-07,6
nm,28,3,1.00E-08,6
nm,28,3,1.00E-09,3
nm,28,3,1.00E-10,0
nm,28,3,1.00E-11,0
nm,28,3,1.00E-12,0
nm,28,4,0.1,6
nm,28,4,0.01,6
nm,28,4,0.001,6
nm,28,4,1.00E-04,6
nm,28,4,1.00E-05,6
nm,28,4,1.00E-06,6
nm,28,4,1.00E-07,6
nm,28,4,1.00E-08,6
nm,28,4,1.00E-09,6
nm,28,4,1.00E-10,0
nm,28,4,1.00E-11,0
nm,28,4,1.00E-12,0
