Genotype,Timepoint,Strain,Diameter,Area,Volume,Pixels,Mean,Min,Max
Wildtype,Evolved,s1_1,0.777082627,0.4742685,0.245697208,114,2043.588,1540,2612
Wildtype,Evolved,s1_1,1.324124346,1.37704275,1.215583887,331,1852.239,1282,2621
Wildtype,Evolved,s1_1,1.503933771,1.77642675,1.781085454,427,1878.396,1225,2623
Wildtype,Evolved,s1_1,1.328118697,1.38536325,1.22661789,333,1942.06,1331,2623
Wildtype,Evolved,s1_1,1.189242455,1.11078675,0.880663174,267,1877.622,1338,2623
Wildtype,Evolved,s1_1,1.487999944,1.7389845,1.725072559,418,1712.316,1250,2620
Wildtype,Evolved,s1_1,1.519700543,1.813869,1.837691803,436,1773.626,1283,2622
Wildtype,Evolved,s1_1,0.626081158,0.3078585,0.128496271,74,1994.973,1332,2616
Wildtype,Evolved,s1_1,1.148456229,1.03590225,0.793125594,249,1675.494,1204,2623
Wildtype,Evolved,s1_1,1.064686287,0.8902935,0.631922187,214,1722.729,1254,2595
Wildtype,Evolved,s1_1,0.90318171,0.6406785,0.385766069,154,1771.182,1315,2621
Wildtype,Evolved,s1_1,0.608924985,0.2912175,0.118219741,70,2202.957,1648,2611
Wildtype,Evolved,s1_1,1.20911975,1.148229,0.925564241,276,1781.188,1177,2623
Wildtype,Evolved,s1_1,1.256385472,1.2397545,1.038406362,298,1665.903,1160,2623
Wildtype,Evolved,s1_1,1.064686287,0.8902935,0.631922187,214,1709.836,1264,2623
Wildtype,Evolved,s1_1,1.505693787,1.780587,1.787345856,428,1634.252,1156,2613
Wildtype,Evolved,s1_1,1.343977393,1.41864525,1.271084763,341,1703.889,1170,2622
Wildtype,Evolved,s1_1,1.415013795,1.5725745,1.483476408,378,1754.598,1132,2623
Wildtype,Evolved,s1_1,1.081959266,0.91941525,0.6631799,221,1779.154,1231,2601
Wildtype,Evolved,s1_1,0.926343975,0.6739605,0.416212832,162,1831.296,1261,2614
Wildtype,Evolved,s1_1,1.103770269,0.9568575,0.704100574,230,1772.235,1238,2628
Wildtype,Evolved,s1_1,1.00056585,0.78628725,0.524488114,189,1769.116,1208,2618
Wildtype,Evolved,s1_1,1.338052408,1.4061645,1.254347864,338,1806.086,1186,2625
Wildtype,Evolved,s1_1,0.867279231,0.5907555,0.34156665,142,1872.528,1264,2628
Wildtype,Evolved,s1_1,0.957277443,0.71972325,0.459316555,173,1930.035,1350,2623
Wildtype,Evolved,s1_1,1.349876371,1.431126,1.287895447,344,1763.087,1238,2604
Wildtype,Evolved,s1_1,0.720489758,0.4077045,0.195831278,98,1843.276,1265,2594
Wildtype,Evolved,s1_1,1.18701332,1.1066265,0.875720264,266,1752.075,1329,2616
Wildtype,Evolved,s1_1,1.132198192,1.0067805,0.759916708,242,1670.248,1221,2614
Wildtype,Evolved,s1_1,1.166759473,1.06918425,0.831653901,257,1684.214,1238,2621
Wildtype,Evolved,s1_1,0.911936503,0.65315925,0.397093175,157,1837.949,1305,2623
Wildtype,Evolved,s1_1,0.885412465,0.615717,0.363442338,148,1750.899,1229,2629
Wildtype,Evolved,s1_1,1.273138018,1.2730365,1.080500778,306,1688.471,1189,2630
Wildtype,Evolved,s1_1,1.23940651,1.2064725,0.996873247,290,1741.924,1201,2614
Wildtype,Evolved,s1_1,1.338052408,1.4061645,1.254347864,338,1802.775,1287,2638
Wildtype,Evolved,s1_1,1.134535033,1.01094075,0.764631798,243,1890.556,1278,2637
Wildtype,Evolved,s1_1,1.260594481,1.248075,1.048877638,300,1806.793,1322,2637
Wildtype,Evolved,s1_1,1.06219579,0.88613325,0.627498005,213,1893.183,1274,2638
Wildtype,Evolved,s1_1,0.858068925,0.57827475,0.330799729,139,1941.331,1438,2623
Wildtype,Evolved,s1_1,0.810448862,0.515871,0.27872471,124,1828.75,1303,2635
Wildtype,Evolved,s1_1,0.816958596,0.5241915,0.285495168,126,1810.643,1277,2633
Wildtype,Evolved,s1_1,1.359651128,1.45192725,1.316076349,349,1747.315,1175,2638
Wildtype,Evolved,s1_1,1.148456229,1.03590225,0.793125594,249,1859.908,1326,2628
Wildtype,Evolved,s1_1,0.906109373,0.64483875,0.389529624,155,1796.884,1254,2637
Wildtype,Evolved,s1_1,1.175804255,1.08582525,0.8511453,261,1750.529,1204,2630
Wildtype,Evolved,s1_1,1.069649887,0.898614,0.640801576,216,1842.532,1391,2615
Wildtype,Evolved,s1_1,1.198117521,1.12742775,0.900527294,271,1812.424,1298,2635
Wildtype,Evolved,s1_1,1.024111797,0.8237295,0.562394066,198,1717.101,1171,2636
Wildtype,Evolved,s1_1,1.157644025,1.05254325,0.812313603,253,1858.364,1335,2638
Wildtype,Evolved,s1_1,1.09654814,0.94437675,0.690369712,227,1736.674,1203,2633
Wildtype,Evolved,s1_1,1.30396907,1.33544025,1.160915187,321,1676.984,1160,2634
Wildtype,Evolved,s1_1,1.3340878,1.397844,1.243231084,336,1719.536,1180,2631
Wildtype,Evolved,s1_1,1.103770269,0.9568575,0.704100574,230,1812.443,1363,2623
Wildtype,Evolved,s1_1,0.49895767,0.19553175,0.065041378,47,873.83,715,1025
Wildtype,Evolved,s1_1,1.198117521,1.12742775,0.900527294,271,808.339,604,1035
Wildtype,Evolved,s1_1,1.005845918,0.79460775,0.532835308,191,778.812,579,1037
Wildtype,Evolved,s1_1,1.086843983,0.92773575,0.672202679,223,777.35,595,1039
Wildtype,Evolved,s1_1,1.457427501,1.66826025,1.620912245,401,792.209,587,1037
Wildtype,Evolved,s1_1,0.823416867,0.532512,0.292319575,128,796.133,619,1028
